date,covid_month,season,state,tests,cases,hospitalizations,deaths
2020-08-21,8,Summer,OR,8390,295,21,4
2020-08-21,8,Summer,PA,24710,693,0,20
2020-08-21,8,Summer,RI,10403,151,7,2
2020-08-21,8,Summer,SC,10381,1058,293,58
2020-08-21,8,Summer,SD,2500,193,8,2
2020-08-21,8,Summer,TN,29005,1669,99,61
2020-08-21,8,Summer,TX,48584,5021,0,258
2020-08-21,8,Summer,UT,5455,463,17,2
2020-08-21,8,Summer,VT,2115,4,0,0
2020-08-21,8,Summer,VA,18943,978,73,9
2020-08-21,8,Summer,WA,12396,628,12,15
2020-08-21,8,Summer,WV,6550,84,0,4
2020-08-21,8,Summer,WI,17733,848,36,1
2020-08-21,8,Summer,WY,849,56,1,3
2020-08-21,8,Summer,NA,0,0,0,0
2020-08-21,8,Summer,NA,5073,60,0,1
2020-08-21,8,Summer,NA,824,63,0,1
2020-08-21,8,Summer,NA,0,0,0,0
2020-08-21,8,Summer,NA,438,438,0,7
2020-08-21,8,Summer,NA,285,63,0,0
2020-08-22,8,Summer,AL,19503,1762,172,21
2020-08-22,8,Summer,AK,4752,88,3,1
2020-08-22,8,Summer,AZ,15936,996,61,68
2020-08-22,8,Summer,AR,0,547,52,11
2020-08-22,8,Summer,CA,106980,6556,0,167
2020-08-22,8,Summer,CO,11226,297,23,8
2020-08-22,8,Summer,CT,14515,0,0,0
2020-08-22,8,Summer,DE,3394,58,0,0
2020-08-22,8,Summer,FL,85096,4260,339,107
2020-08-22,8,Summer,GA,29068,2592,200,94
2020-08-22,8,Summer,HI,3806,228,20,1
2020-08-22,8,Summer,ID,2056,249,7,6
2020-08-22,8,Summer,IL,56766,2356,0,17
2020-08-22,8,Summer,IN,23790,1000,87,10
2020-08-22,8,Summer,IA,5216,729,0,10
2020-08-22,8,Summer,KS,0,0,0,0
2020-08-22,8,Summer,KY,0,0,0,0
2020-08-22,8,Summer,LA,0,0,0,0
2020-08-22,8,Summer,ME,3790,32,0,1
2020-08-22,8,Summer,MD,28558,624,41,11
2020-08-22,8,Summer,MA,13658,144,11,20
2020-08-22,8,Summer,MI,33018,1426,0,21
2020-08-22,8,Summer,MN,16745,734,49,8
2020-08-22,8,Summer,MS,3820,945,22,23
2020-08-22,8,Summer,MO,11007,1293,0,6
2020-08-22,8,Summer,MT,1089,160,15,1
2020-08-22,8,Summer,NE,3931,278,14,3
2020-08-22,8,Summer,NV,6632,636,0,12
2020-08-22,8,Summer,NH,8840,21,1,1
2020-08-22,8,Summer,NJ,33088,459,52,2
2020-08-22,8,Summer,NM,7366,207,12,4
2020-08-22,8,Summer,NY,94849,653,0,4
2020-08-22,8,Summer,NC,25761,1729,0,27
2020-08-22,8,Summer,ND,6623,256,8,0
2020-08-22,8,Summer,OH,30013,1119,59,20
2020-08-22,8,Summer,OK,11032,853,52,10
2020-08-22,8,Summer,OR,10346,256,5,2
2020-08-22,8,Summer,PA,24367,796,0,18
2020-08-22,8,Summer,RI,9695,153,17,5
2020-08-22,8,Summer,SC,8951,917,0,34
2020-08-22,8,Summer,SD,2129,251,3,1
2020-08-22,8,Summer,TN,26452,1239,73,14
2020-08-22,8,Summer,TX,44017,5559,0,215
2020-08-22,8,Summer,UT,7148,369,29,2
2020-08-22,8,Summer,VT,2744,11,0,0
2020-08-22,8,Summer,VA,16393,1212,68,7
2020-08-22,8,Summer,WA,7269,509,69,13
2020-08-22,8,Summer,WV,6119,119,0,6
2020-08-22,8,Summer,WI,16237,975,40,14
2020-08-22,8,Summer,WY,250,19,0,0
2020-08-22,8,Summer,NA,0,0,0,0
2020-08-22,8,Summer,NA,3382,65,0,2
2020-08-22,8,Summer,NA,0,0,0,0
2020-08-22,8,Summer,NA,0,0,0,0
2020-08-22,8,Summer,NA,268,268,0,7
2020-08-22,8,Summer,NA,491,28,0,0
2020-08-23,8,Summer,AL,5387,528,0,2
2020-08-23,8,Summer,AK,1153,66,2,1
2020-08-23,8,Summer,AZ,7824,208,-30,15
2020-08-23,8,Summer,AR,12235,375,12,13
2020-08-23,8,Summer,CA,104679,6777,0,146
2020-08-23,8,Summer,CO,8444,260,10,0
2020-08-23,8,Summer,CT,6760,0,0,0
2020-08-23,8,Summer,DE,3293,67,0,0
2020-08-23,8,Summer,FL,52380,3004,139,51
2020-08-23,8,Summer,GA,22714,1727,44,40
2020-08-23,8,Summer,HI,4390,284,40,1
2020-08-23,8,Summer,ID,1400,293,13,2
2020-08-23,8,Summer,IL,54351,1893,0,6
2020-08-23,8,Summer,IN,9088,615,62,2
2020-08-23,8,Summer,IA,3621,540,0,5
2020-08-23,8,Summer,KS,0,0,0,0
2020-08-23,8,Summer,KY,0,1264,0,17
2020-08-23,8,Summer,LA,25031,1223,0,59
2020-08-23,8,Summer,ME,3880,18,1,1
2020-08-23,8,Summer,MD,21141,579,92,6
2020-08-23,8,Summer,MA,0,0,0,0
2020-08-23,8,Summer,MI,76129,764,0,4
2020-08-23,8,Summer,MN,16941,717,38,6
2020-08-23,8,Summer,MS,626,626,0,3
2020-08-23,8,Summer,MO,21555,818,0,1
2020-08-23,8,Summer,MT,1033,53,1,0
2020-08-23,8,Summer,NE,2688,154,16,0
2020-08-23,8,Summer,NV,3779,532,0,0
2020-08-23,8,Summer,NH,2466,15,1,0
2020-08-23,8,Summer,NJ,282,282,3,3
2020-08-23,8,Summer,NM,6979,94,1,2
2020-08-23,8,Summer,NY,74043,572,0,6
2020-08-23,8,Summer,NC,24904,1472,0,10
2020-08-23,8,Summer,ND,4402,138,2,4
2020-08-23,8,Summer,OH,26302,637,22,3
2020-08-23,8,Summer,OK,566,566,54,1
2020-08-23,8,Summer,OR,8955,289,0,3
2020-08-23,8,Summer,PA,20443,619,0,2
2020-08-23,8,Summer,RI,5490,88,5,0
2020-08-23,8,Summer,SC,-19796,693,0,11
2020-08-23,8,Summer,SD,2353,141,8,1
